ENTRY,USCPI,CANEX,CANCPI,JAPANEX,JAPANCPI,SWEX,SWCPI
1984:08:00,261.654,1.304,298.035,237.461,252.647,2.415,186.872
1984:09:00,262.406,1.315,298.525,236.528,256.471,2.505,186.758
1984:10:00,263.409,1.319,299.505,214.68,258.235,2.525,187.939
1984:11:00,263.91,1.317,300.976,204.074,257.059,2.47,188.921
1984:12:00,264.411,1.32,300.976,202.788,257.353,2.56,188.86
1985:01:00,264.912,1.324,302.447,199.891,258.235,2.659,190.706
1985:02:00,266.416,1.355,304.407,184.852,257.353,2.805,192.262
1985:03:00,267.669,1.384,304.897,178.694,258.235,2.803,193.331
1985:04:00,268.17,1.366,306.368,175.092,259.706,2.595,193.096
1985:05:00,268.672,1.376,307.348,167.031,260.294,2.615,192.962
1985:06:00,269.424,1.368,308.819,167.542,260.294,2.572,192.866
1985:07:00,269.925,1.353,310.29,158.606,260.882,2.406,192.454
1985:08:00,270.426,1.357,310.29,154.177,260.294,2.296,192.413
1985:09:00,270.927,1.37,310.78,154.731,260.588,2.336,193.006
1985:10:00,271.93,1.367,311.76,156.472,262.941,2.169,193.487
1985:11:00,273.183,1.377,312.74,162.849,260.882,2.131,194.855
1985:12:00,274.436,1.396,314.211,162.052,261.176,2.104,194.975
1986:01:00,275.439,1.407,315.682,154.83,262.059,2.066,194.892
1986:02:00,274.937,1.404,317.152,153.407,261.765,1.955,194.844
1986:03:00,273.434,1.401,318.133,151.433,261.765,1.915,195.085
1986:04:00,272.431,1.388,318.133,142.899,262.353,1.902,194.978
1986:05:00,273.183,1.376,320.093,140.479,263.235,1.854,194.384
1986:06:00,274.185,1.39,320.583,144.549,261.765,1.841,194.344
1986:07:00,274.436,1.381,323.034,150.294,261.176,1.744,193.427
1986:08:00,274.687,1.389,323.525,147.334,260.588,1.662,193.8
1986:09:00,275.689,1.387,323.525,143.291,261.765,1.654,194.137
1986:10:00,276.19,1.389,325.485,143.32,262.059,1.643,194.184
1986:11:00,276.692,1.386,326.956,135.397,260.882,1.686,194.665
1986:12:00,277.694,1.38,327.446,128.242,260.294,1.665,195.054
1987:01:00,279.198,1.361,328.427,127.685,259.412,1.562,196.182
1987:02:00,280.201,1.334,329.897,129.167,259.412,1.54,196.758
1987:03:00,281.203,1.319,330.877,127.114,260.294,1.539,197.033
1987:04:00,282.456,1.319,332.838,124.898,262.647,1.496,197.279
1987:05:00,283.208,1.341,334.799,124.787,263.235,1.47,196.185
1987:06:00,284.461,1.339,335.779,127.466,262.647,1.509,196.812
1987:07:00,285.213,1.326,337.74,133.022,261.471,1.537,196.862
1987:08:00,286.466,1.326,338.23,133.766,261.765,1.536,197.628
1987:09:00,287.469,1.315,338.23,134.318,264.118,1.503,197.158
